item,itemLabel,startDate,endDate
Q3633927,Yashwant Singh Parmar,1963-07-01,1967-03-04
Q3633927,Yashwant Singh Parmar,1967-03-04,1971-01-25
Q3633927,Yashwant Singh Parmar,1971-01-25,1972-03-10
Q3633927,Yashwant Singh Parmar,1972-03-10,1977-01-28
Q2155313,Thakur Ram Lal,1977-01-28,1977-04-30
Q1486618,President's rule,1977-04-30,1977-06-22
Q2045095,Shanta Kumar,1977-06-22,1980-02-14
Q2155313,Thakur Ram Lal,1980-02-14,1982-06-15
Q2155313,Thakur Ram Lal,1982-06-15,1983-04-07
Q777478,Virbhadra Singh,1983-04-08,1985-03-08
Q777478,Virbhadra Singh,1985-03-08,1990-03-05
Q2045095,Shanta Kumar,1990-03-05,1992-12-15
Q1486618,President's rule,1992-12-15,1993-12-03
Q777478,Virbhadra Singh,1993-12-03,1998-03-23
Q3520354,Prem Kumar Dhumal,1998-03-24,2003-03-05
Q777478,Virbhadra Singh,2003-03-06,2007-12-30
Q3520354,Prem Kumar Dhumal,2007-12-30,2012-12-25
Q777478,Virbhadra Singh,2012-12-25,2017-12-27
Q6123452,Jai Ram Thakur,2017-12-27,
